frame,label,confidence,distance_m,direction,placeholder
16,person,0.379,13.98,front-right,False
17,person,0.481,16.14,front-right,False
20,fire_placeholder,0.05,9.21,front-left,True
26,person,0.487,5.95,front-left,False
31,person,0.511,4.55,front-left,False
31,person,0.413,4.64,front-left,False
33,person,0.396,3.18,front-left,False
33,fire_placeholder,0.05,11.67,front-left,True
35,person,0.486,11.61,front-left,False
38,person,0.415,11.58,front-left,False
39,person,0.472,25.62,front-left,False
39,suitcase,0.446,4.89,front-left,False
52,fire_placeholder,0.05,15.56,front-left,True
52,fire_placeholder,0.079,7.22,front,True
54,fire_placeholder,0.05,8.97,front-right,True
57,person,0.471,3.58,front-left,False
113,person,0.353,3.21,front-left,False
155,person,0.919,3.19,front-left,False
156,person,0.794,3.17,front-left,False
157,person,0.795,3.17,front-left,False
158,person,0.886,3.17,front,False
159,person,0.741,3.18,front-left,False
160,person,0.881,3.25,front-left,False
161,person,0.591,3.18,front,False
162,person,0.471,3.17,front,False
163,person,0.839,3.18,front,False
164,person,0.506,3.18,front,False
166,person,0.449,3.21,front-right,False
167,person,0.361,12.27,front-left,False
167,fire_placeholder,0.05,17.5,front-left,True
171,person,0.617,3.16,front,False
172,person,0.622,3.22,front,False
172,fire_placeholder,0.062,6.42,front-right,True
173,person,0.534,3.17,front-right,False
173,fire_placeholder,0.144,3.32,front-right,True
173,fire_placeholder,0.05,6.93,front-right,True
174,person,0.779,3.17,front,False
174,fire_placeholder,0.109,4.19,front-right,True
174,fire_placeholder,0.05,5.15,front-right,True
175,fire_placeholder,0.05,6.67,front-right,True
175,fire_placeholder,0.056,3.37,front-right,True
176,fire_placeholder,0.05,6.67,front-right,True
176,fire_placeholder,0.056,3.37,front-right,True
177,person,0.438,3.15,front,False
178,fire_placeholder,0.05,10.29,front-right,True
178,fire_placeholder,0.05,16.28,front-right,True
179,person,0.405,3.14,front,False
181,person,0.575,3.23,front,False
181,person,0.4,3.19,front,False
185,fire_placeholder,0.05,4.61,front-right,True
195,person,0.448,3.19,front,False
196,person,0.474,3.23,front,False
197,person,0.428,3.18,front-left,False
197,fire_placeholder,0.05,10.61,front-left,True
198,person,0.388,3.17,front-right,False
201,person,0.807,3.2,front-right,False
202,person,0.807,3.2,front-right,False
203,person,0.878,3.16,front-right,False
204,person,0.387,3.18,front,False
205,person,0.523,3.14,front,False
205,person,0.37,3.21,front-right,False
206,person,0.676,3.15,front,False
207,person,0.614,3.13,front,False
208,person,0.761,3.12,front-right,False
209,fire_placeholder,0.05,5.51,front-left,True
209,fire_placeholder,0.05,13.73,front-left,True
210,person,0.505,3.17,front,False
210,fire_placeholder,0.074,2.52,front-left,True
211,fire_placeholder,0.05,8.54,front-left,True
215,person,0.415,3.21,front,False
215,person,0.414,4.86,front-right,False
215,person,0.368,3.18,front-right,False
215,fire_placeholder,0.05,5.56,front-left,True
216,fire_placeholder,0.05,6.93,front-left,True
216,fire_placeholder,0.076,3.32,front-left,True
216,fire_placeholder,0.05,14.89,front-left,True
217,person,0.51,3.21,front-left,False
217,fire_placeholder,0.143,1.94,front-left,True
218,person,0.401,3.18,front-left,False
218,fire_placeholder,0.05,11.86,front-left,True
218,fire_placeholder,0.05,4.14,front-left,True
218,fire_placeholder,0.05,4.64,front-left,True
219,fire_placeholder,0.05,4.79,front-left,True
220,fire_placeholder,0.05,6.86,front-left,True
221,fire_placeholder,0.06,3.15,front-left,True
222,person,0.36,3.16,front-left,False
222,fire_placeholder,0.05,9.09,front-left,True
222,fire_placeholder,0.05,7.69,front-left,True
225,fire_placeholder,0.05,12.28,front-left,True
226,person,0.405,3.17,front,False
226,fire_placeholder,0.05,8.33,front-left,True
235,person,0.374,8.09,front-left,False
245,person,0.678,8.86,front-left,False
246,person,0.734,11.87,front-right,False
246,person,0.607,13.78,front-left,False
246,person,0.555,15.56,front-left,False
247,person,0.808,7.87,front-right,False
247,person,0.739,10.87,front-left,False
247,person,0.521,14.84,front-left,False
247,person,0.386,4.0,front-left,False
248,person,0.446,10.87,front-left,False
248,person,0.362,4.1,front-left,False
249,person,0.876,4.34,front-right,False
249,person,0.723,10.88,front-left,False
249,person,0.712,6.1,front-left,False
249,person,0.693,4.72,front-left,False
249,person,0.58,16.06,front-left,False
249,person,0.573,10.8,front-right,False
250,person,0.926,3.78,front-right,False
250,person,0.753,15.95,front-left,False
250,person,0.62,4.9,front-left,False
250,person,0.602,6.12,front-left,False
250,person,0.573,10.71,front-left,False
251,person,0.833,3.2,front-right,False
251,person,0.72,8.77,front-left,False
251,person,0.551,15.67,front-left,False
252,person,0.92,3.15,front-right,False
253,person,0.925,3.15,front-right,False
253,person,0.556,3.18,front-left,False
254,person,0.902,3.25,front-right,False
254,person,0.523,3.2,front-left,False
255,person,0.92,3.3,front-right,False
255,person,0.368,3.21,front-left,False
256,person,0.83,3.3,front-right,False
256,person,0.499,3.24,front-left,False
257,person,0.871,5.63,front-right,False
257,fire_placeholder,0.05,6.93,front-left,True
258,person,0.826,6.84,front-right,False
258,fire_placeholder,0.05,14.29,front,True
258,fire_placeholder,0.05,5.51,front,True
258,fire_placeholder,0.05,7.29,front-right,True
258,fire_placeholder,0.05,15.22,front-right,True
258,fire_placeholder,0.05,9.72,front-left,True
258,fire_placeholder,0.05,33.33,front-left,True
258,fire_placeholder,0.05,17.07,front-right,True
258,fire_placeholder,0.05,13.73,front-right,True
258,fire_placeholder,0.05,11.11,front-left,True
260,fire_placeholder,0.05,16.67,front-right,True
260,fire_placeholder,0.05,6.67,front,True
260,fire_placeholder,0.05,6.86,front,True
260,fire_placeholder,0.05,9.09,front-right,True
260,fire_placeholder,0.05,13.46,front-right,True
260,fire_placeholder,0.05,8.97,front-left,True
260,fire_placeholder,0.05,20.0,front-right,True
261,fire_placeholder,0.05,8.33,front-right,True
261,fire_placeholder,0.05,8.05,front-right,True
261,fire_placeholder,0.05,5.34,front,True
261,fire_placeholder,0.05,17.07,front-right,True
261,fire_placeholder,0.05,7.45,front,True
261,fire_placeholder,0.05,13.46,front-right,True
261,fire_placeholder,0.05,25.0,front-right,True
261,fire_placeholder,0.05,9.21,front-left,True
261,fire_placeholder,0.05,24.14,front-left,True
261,fire_placeholder,0.05,16.67,front-right,True
262,fire_placeholder,0.05,5.83,front-right,True
262,fire_placeholder,0.05,13.73,front,True
262,fire_placeholder,0.05,3.68,front,True
262,fire_placeholder,0.05,8.14,front-right,True
262,fire_placeholder,0.05,13.21,front-right,True
262,fire_placeholder,0.05,25.93,front-right,True
262,fire_placeholder,0.05,9.09,front-left,True
262,fire_placeholder,0.05,25.93,front-left,True
262,fire_placeholder,0.05,15.56,front-right,True
263,fire_placeholder,0.05,12.28,front-right,True
263,fire_placeholder,0.05,14.89,front-right,True
263,fire_placeholder,0.05,21.88,front-right,True
263,fire_placeholder,0.05,6.31,front,True
263,fire_placeholder,0.05,4.64,front,True
263,fire_placeholder,0.05,7.22,front-right,True
263,fire_placeholder,0.05,12.28,front-right,True
263,fire_placeholder,0.05,25.0,front-right,True
263,fire_placeholder,0.05,8.97,front-left,True
263,fire_placeholder,0.05,25.93,front-left,True
263,fire_placeholder,0.05,14.89,front-right,True
264,fire_placeholder,0.05,11.48,front-right,True
264,fire_placeholder,0.05,11.48,front-right,True
264,fire_placeholder,0.05,11.86,front-right,True
264,fire_placeholder,0.05,10.45,front,True
264,fire_placeholder,0.05,6.31,front,True
264,fire_placeholder,0.05,9.09,front-right,True
264,fire_placeholder,0.05,13.73,front-right,True
264,fire_placeholder,0.05,28.0,front-right,True
264,fire_placeholder,0.05,25.0,front-left,True
264,fire_placeholder,0.05,7.95,front-left,True
264,fire_placeholder,0.05,16.67,front-right,True
265,fire_placeholder,0.05,9.33,front,True
265,fire_placeholder,0.05,7.87,front-right,True
265,fire_placeholder,0.05,6.25,front,True
265,fire_placeholder,0.05,14.0,front-right,True
265,fire_placeholder,0.05,26.92,front-left,True
265,fire_placeholder,0.05,8.14,front-left,True
265,fire_placeholder,0.05,16.28,front-right,True
266,fire_placeholder,0.05,8.33,front,True
266,fire_placeholder,0.05,9.09,front-right,True
266,fire_placeholder,0.05,4.35,front,True
266,fire_placeholder,0.05,12.96,front-right,True
266,fire_placeholder,0.05,23.33,front-right,True
266,fire_placeholder,0.05,26.92,front-left,True
266,fire_placeholder,0.05,8.24,front-left,True
266,fire_placeholder,0.05,15.56,front-right,True
267,fire_placeholder,0.05,14.89,front-left,True
267,fire_placeholder,0.05,10.61,front-right,True
267,fire_placeholder,0.05,4.55,front,True
267,fire_placeholder,0.05,14.0,front-right,True
267,fire_placeholder,0.05,25.0,front-right,True
267,fire_placeholder,0.05,25.93,front-left,True
267,fire_placeholder,0.05,10.61,front-left,True
267,fire_placeholder,0.05,14.58,front-right,True
268,person,0.368,7.96,front-right,False
268,fire_placeholder,0.05,15.22,front-right,True
268,fire_placeholder,0.05,9.33,front,True
268,fire_placeholder,0.05,6.6,front,True
268,fire_placeholder,0.05,7.29,front-right,True
268,fire_placeholder,0.05,12.96,front,True
268,fire_placeholder,0.05,26.92,front-right,True
268,fire_placeholder,0.05,8.64,front-left,True
268,fire_placeholder,0.05,23.33,front-left,True
268,fire_placeholder,0.05,15.22,front-right,True
269,backpack,0.355,4.97,front,False
269,fire_placeholder,0.05,9.09,front,True
269,fire_placeholder,0.05,5.56,front,True
269,fire_placeholder,0.05,9.21,front-right,True
269,fire_placeholder,0.05,13.21,front,True
269,fire_placeholder,0.05,26.92,front-right,True
269,fire_placeholder,0.05,8.43,front-left,True
269,fire_placeholder,0.05,23.33,front-left,True
269,fire_placeholder,0.05,14.89,front-right,True
270,fire_placeholder,0.05,15.91,front-left,True
270,fire_placeholder,0.05,17.5,front-right,True
270,fire_placeholder,0.05,5.74,front,True
270,fire_placeholder,0.05,8.75,front-right,True
270,fire_placeholder,0.05,13.21,front,True
270,fire_placeholder,0.05,25.93,front-right,True
270,fire_placeholder,0.05,8.33,front-left,True
270,fire_placeholder,0.05,24.14,front-left,True
270,fire_placeholder,0.05,15.56,front-right,True
271,fire_placeholder,0.05,18.42,front-right,True
271,fire_placeholder,0.05,21.21,front-left,True
271,fire_placeholder,0.05,4.52,front,True
271,fire_placeholder,0.05,7.14,front-right,True
271,fire_placeholder,0.05,13.73,front,True
271,fire_placeholder,0.05,25.93,front-right,True
271,fire_placeholder,0.05,8.64,front-left,True
271,fire_placeholder,0.05,25.0,front-left,True
271,fire_placeholder,0.05,15.56,front-right,True
272,backpack,0.422,5.21,front,False
272,fire_placeholder,0.05,8.43,front,True
272,fire_placeholder,0.05,10.29,front-right,True
272,fire_placeholder,0.05,6.14,front,True
272,fire_placeholder,0.05,13.73,front,True
272,fire_placeholder,0.05,25.93,front-right,True
