frame,x,y,heading_deg,matches,vo_status
1,0.0,0.0,0.0,0,init
2,0.0,0.0,0.0,7,low_texture_hold_pose
3,0.0,0.0,0.0,1,low_texture_hold_pose
4,0.049,-0.009,-0.53,18,ok
5,0.001,0.003,-0.16,20,ok
6,0.001,0.003,-0.16,10,low_texture_hold_pose
7,0.001,0.003,-0.16,4,low_texture_hold_pose
8,0.001,0.003,-0.16,6,low_texture_hold_pose
9,0.001,0.003,-0.16,4,low_texture_hold_pose
10,0.001,0.003,-0.16,0,low_texture_hold_pose
11,0.001,0.003,-0.16,0,low_texture_hold_pose
12,0.001,0.003,-0.16,0,low_texture_hold_pose
13,0.001,0.003,-0.16,10,low_texture_hold_pose
14,0.001,0.003,-0.16,0,insufficient_features
15,0.001,0.003,-0.16,0,insufficient_features
16,0.001,0.003,-0.16,0,low_texture_hold_pose
17,0.005,-0.047,-20.68,32,ok
18,0.005,-0.047,-20.68,0,low_texture_hold_pose
19,-0.041,-0.025,-19.17,30,ok
20,-0.041,-0.025,-19.17,0,low_texture_hold_pose
21,-0.041,-0.025,-19.17,3,low_texture_hold_pose
22,-0.041,-0.025,-19.17,0,init
23,-0.041,-0.025,-19.17,0,init
24,-0.086,-0.047,-19.17,66,ok
25,-0.086,-0.047,-19.17,0,low_texture_hold_pose
26,-0.086,-0.047,-19.17,0,low_texture_hold_pose
27,-0.086,-0.047,-19.17,13,low_texture_hold_pose
28,-0.086,-0.047,-19.17,3,low_texture_hold_pose
29,-0.086,-0.047,-19.17,0,low_texture_hold_pose
30,-0.086,-0.047,-19.17,2,low_texture_hold_pose
31,-0.086,-0.047,-19.17,2,low_texture_hold_pose
32,-0.05,-0.082,-17.4,56,ok
33,-0.001,-0.094,-193.34,18,ok
34,-0.001,-0.094,-193.34,2,low_texture_hold_pose
35,-0.001,-0.094,-193.34,3,low_texture_hold_pose
36,-0.001,-0.094,-193.34,14,low_texture_hold_pose
37,-0.001,-0.094,-193.34,5,low_texture_hold_pose
38,-0.005,-0.045,-214.48,28,ok
39,-0.005,-0.045,-214.48,7,low_texture_hold_pose
40,-0.025,-0.09,-209.75,114,ok
41,0.016,-0.119,-213.92,75,ok
42,-0.008,-0.076,-213.05,284,ok
43,0.036,-0.099,-210.27,28,ok
44,0.036,-0.099,-210.27,1,low_texture_hold_pose
45,0.036,-0.099,-210.27,0,init
46,0.036,-0.099,-210.27,0,init
47,0.036,-0.099,-210.27,0,init
48,0.036,-0.099,-210.27,0,init
49,0.036,-0.099,-210.27,0,init
50,0.036,-0.099,-210.27,0,init
51,0.036,-0.099,-210.27,0,init
52,0.036,-0.099,-210.27,0,init
53,0.036,-0.099,-210.27,0,init
54,0.036,-0.099,-210.27,0,low_texture_hold_pose
55,0.028,-0.05,-343.54,54,ok
56,0.028,-0.05,-343.54,1,low_texture_hold_pose
57,0.028,-0.05,-343.54,0,low_texture_hold_pose
58,0.028,-0.05,-343.54,0,insufficient_features
